iter	Passed	Remaining
652	1026	545
653	1028	544
654	1030	542
655	1031	540
656	1032	539
657	1033	537
658	1035	535
659	1036	533
660	1037	531
661	1038	530
662	1039	528
663	1040	526
664	1042	525
665	1043	523
666	1044	521
667	1046	519
668	1047	518
669	1048	516
670	1050	514
671	1051	513
672	1052	511
673	1053	509
674	1054	507
675	1056	506
676	1057	504
677	1058	502
678	1059	501
679	1061	499
680	1062	497
681	1063	495
682	1064	494
683	1065	492
684	1066	490
685	1067	488
686	1068	486
687	1070	485
688	1072	483
689	1073	482
690	1074	480
691	1075	478
692	1077	477
693	1078	475
694	1079	473
695	1080	471
696	1081	470
697	1082	468
698	1083	466
699	1085	465
700	1086	463
701	1087	461
702	1088	460
703	1090	458
704	1091	456
705	1092	454
706	1093	453
707	1094	451
708	1095	449
709	1096	447
710	1097	446
711	1098	444
712	1099	442
713	1100	440
714	1102	439
715	1103	437
716	1104	435
717	1105	434
718	1106	432
719	1107	430
720	1108	429
721	1110	427
722	1111	425
723	1112	424
724	1113	422
725	1115	420
726	1116	419
727	1118	417
728	1119	416
729	1120	414
730	1121	412
731	1122	411
732	1123	409
733	1125	407
734	1126	406
735	1127	404
736	1129	402
737	1130	401
738	1131	399
739	1132	397
740	1133	396
741	1135	394
742	1136	393
743	1137	391
744	1138	389
745	1140	388
746	1141	386
747	1143	385
748	1144	383
749	1145	381
750	1146	380
751	1147	378
752	1148	376
753	1150	375
754	1151	373
755	1152	371
756	1153	370
757	1154	368
758	1155	366
759	1156	365
760	1158	363
761	1159	362
762	1161	360
763	1162	359
764	1163	357
765	1164	355
766	1166	354
767	1167	352
768	1168	351
769	1169	349
770	1170	347
771	1171	346
772	1172	344
773	1173	342
774	1175	341
775	1176	339
776	1177	337
777	1178	336
778	1179	334
779	1180	333
780	1181	331
781	1182	329
782	1183	328
783	1184	326
784	1185	324
785	1186	323
786	1188	321
787	1189	320
788	1190	318
789	1191	316
790	1193	315
791	1197	314
792	1199	313
793	1200	311
794	1201	309
795	1203	308
796	1204	306
797	1206	305
798	1207	303
799	1208	302
800	1209	300
801	1211	299
802	1212	297
803	1213	295
804	1214	294
805	1215	292
806	1216	290
807	1218	289
808	1219	287
809	1220	286
810	1221	284
811	1222	283
812	1224	281
813	1225	279
814	1226	278
815	1227	276
816	1228	275
817	1229	273
818	1230	271
819	1231	270
820	1232	268
821	1233	267
822	1234	265
823	1236	264
824	1237	262
825	1238	260
826	1239	259
827	1240	257
828	1241	256
829	1242	254
830	1243	252
831	1244	251
832	1246	249
833	1247	248
834	1248	246
835	1250	245
836	1252	243
837	1253	242
838	1254	240
839	1255	239
840	1256	237
841	1257	236
842	1259	234
843	1260	232
844	1261	231
845	1263	230
846	1264	228
847	1266	226
848	1267	225
849	1268	223
850	1270	222
851	1271	220
852	1272	219
853	1273	217
854	1274	216
855	1275	214
856	1277	213
857	1278	211
858	1279	210
859	1280	208
860	1281	206
861	1282	205
862	1283	203
863	1284	202
864	1285	200
865	1287	199
866	1288	197
867	1289	196
868	1290	194
869	1291	192
870	1292	191
871	1293	189
872	1295	188
873	1296	186
874	1297	185
875	1298	183
876	1300	182
877	1301	180
878	1302	179
879	1303	177
880	1304	176
881	1305	174
882	1306	173
883	1307	171
884	1308	170
885	1310	168
886	1311	167
887	1312	165
888	1313	164
889	1314	162
890	1315	160
891	1316	159
892	1318	157
893	1319	156
894	1320	154
895	1321	153
896	1322	151
897	1323	150
898	1324	148
899	1325	147
900	1326	145
901	1328	144
902	1329	142
903	1330	141
904	1331	139
905	1332	138
906	1333	136
907	1334	135
908	1335	133
909	1336	132
910	1338	130
911	1339	129
912	1341	127
913	1342	126
914	1343	124
915	1344	123
916	1345	121
917	1346	120
918	1347	118
919	1348	117
920	1349	115
921	1350	114
922	1352	112
923	1353	111
924	1354	109
925	1355	108
926	1356	106
927	1357	105
928	1358	103
929	1359	102
930	1361	100
931	1362	99
932	1363	97
933	1364	96
934	1365	94
935	1366	93
936	1367	91
937	1368	90
938	1369	88
939	1370	87
940	1371	86
941	1372	84
942	1373	83
943	1375	81
944	1376	80
945	1377	78
946	1378	77
947	1379	75
948	1380	74
949	1381	72
950	1382	71
951	1384	69
952	1385	68
953	1387	66
954	1388	65
955	1389	63
956	1390	62
957	1391	61
958	1393	59
959	1394	58
960	1395	56
961	1396	55
962	1397	53
963	1398	52
964	1399	50
965	1401	49
966	1402	47
967	1403	46
968	1404	44
969	1405	43
970	1406	42
971	1407	40
972	1408	39
973	1409	37
974	1410	36
975	1412	34
976	1413	33
977	1414	31
978	1415	30
979	1416	28
980	1418	27
981	1419	26
982	1420	24
983	1422	23
984	1423	21
985	1424	20
986	1425	18
987	1426	17
988	1428	15
989	1430	14
990	1431	13
991	1433	11
992	1434	10
993	1435	8
994	1437	7
995	1438	5
996	1439	4
997	1440	2
998	1441	1
999	1442	0
